procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  4      0 11927564 108392 2997368    0    0    53   795 8415   64  9  9 70 12  0  0
17  4      0 11927592 108392 3000128    0    0     0     0 22060 117041 47 48  2  3  0  0
16  4      0 11933612 108392 3003176    0    0     0     0 24269 122618 47 48  4  1  0  0
15  4      0 11931572 108392 3006116    0    0     0     0 24953 121143 46 49  2  2  0  0
17  4      0 11932856 108392 3009112    0    0     0     0 24713 123587 45 50  3  2  0  0
16  4      0 11930928 108392 3012404    0    0     0     0 25688 120241 46 50  2  2  0  0
11  4      0 11924464 108392 3015464    0    0     0     0 23463 114577 46 49  2  2  1  0
14  4      0 11919200 108392 3018896    0    0     0     0 24060 121010 47 49  2  2  0  0
 8  4      0 11916904 108392 3021736    0    0     0     0 23045 119844 47 49  2  2  0  0
22  4      0 11949384 108392 2991632    0    0     0     0 20038 105758 54 43  2  1  0  0
12  4      0 11945996 108392 2994476    0    0     0   136 23575 118509 45 50  4  1  0  0
13  4      0 11942104 108392 2997548    0    0     0   120 24254 117256 46 48  4  1  1  0
14  4      0 11923680 108392 3000736    0    0     0  1880 23458 114093 46 49  3  1  0  0
18  4      0 11917296 108392 3003808    0    0     0     0 23796 122210 46 50  2  2  0  0
20  4      0 11911752 108392 3006744    0    0     0  1148 25038 126717 45 51  3  1  0  0
13  4      0 11908924 108392 3009800    0    0     0     0 26769 121857 47 48  3  2  0  0
11  4      0 11905676 108392 3012784    0    0     0    16 24913 116338 47 48  3  1  1  0
13  4      0 11902148 108392 3016020    0    0     0    12 23408 117487 49 47  3  2  0  0
17  4      0 11900468 108392 3018640    0    0     0     0 24057 121535 47 49  3  1  0  0
13  4      0 11915084 108392 2992180    0    0     0     0 22283 111748 53 45  2  1  0  0
10  4      0 11914356 108392 2995408    0    0     0     0 23517 125659 46 49  3  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  4      0 11913460 108392 2998288    0    0     0  1396 24726 121593 47 50  2  1  0  0
10  4      0 11908588 108392 3001360    0    0     0     0 23825 121563 48 49  2  1  0  0
14  4      0 11889688 108392 3004664    0    0     0     0 21155 116919 47 50  2  1  0  0
14  4      0 11870424 108392 3007960    0    0     0     0 23003 121884 46 50  2  2  0  0
11  4      0 11863172 108392 3010948    0    0     0     0 24823 122018 46 50  2  1  0  0
 9  4      0 11859476 108392 3014232    0    0     0     0 22197 120433 47 50  1  2  0  0
18  4      0 11858720 108392 3017376    0    0     0     0 23898 123179 47 49  3  1  0  0
16  4      0 11858160 108392 3020656    0    0     0     0 23779 115400 47 49  3  1  0  0
13  4      0 11880644 108392 2993540    0    0     0     0 22227 109919 51 45  2  1  0  0
 1  4      0 11874100 108392 2996700    0    0     0  3168 24973 123040 46 49  3  2  0  0
