procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  4      0 11897988 108396 3013416    0    0    52   792 8494   65  9  9 69 12  0  0
13  4      0 11890288 108396 3014824    0    0     0     8 21629 116038 46 49  0  5  0  0
11  4      0 11887320 108396 3016220    0    0     0     0 24331 117178 46 50  2  2  0  0
14  4      0 11926920 108396 2986404    0    0     0     0 20859 102972 52 44  1  2  0  0
15  4      0 11926984 108416 2987792    0    0     0  1740 24944 120766 47 49  2  2  0  0
16  4      0 11928748 108416 2989424    0    0     0     0 25182 126022 47 50  1  2  0  0
18  4      0 11926048 108416 2990700    0    0     0   124 23658 121299 48 49  2  1  0  0
17  4      0 11925276 108416 2992568    0    0     0  2516 23677 121575 45 51  2  1  0  0
18  4      0 11925052 108416 2994204    0    0     0     0 23081 116729 48 49  1  2  0  0
17  4      0 11924464 108416 2995684    0    0     0     0 23657 121118 46 51  2  1  0  0
14  4      0 11923568 108416 2997500    0    0     0     0 25535 123992 46 51  2  1  0  0
14  4      0 11922616 108416 2999080    0    0     0     0 22157 116197 47 50  3  0  0  0
14  4      0 11918724 108416 3000664    0    0     0     0 22200 111309 47 50  2  1  0  0
16  4      0 11916288 108416 3002204    0    0     0     0 21698 111136 47 50  1  2  0  0
17  4      0 11909144 108416 3003808    0    0     0     0 20885 108964 47 50  1  1  0  0
18  4      0 11905452 108416 3005200    0    0     0     0 20007 100602 48 49  1  2  0  0
11  4      0 11905352 108416 3006936    0    0     0 23712 22877 115492 47 50  1  2  0  0
14  4      0 11904768 108416 3008376    0    0     0    12 23075 117872 47 50  0  3  0  0
17  4      0 11903760 108416 3010072    0    0     0  2484 23941 123752 46 53  1  1  0  0
13  4      0 11901076 108416 3011788    0    0     0     0 20407 115876 46 51  1  2  0  0
13  4      0 11899172 108416 3013484    0    0     0     0 24495 124841 47 49  1  3  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  4      0 11895588 108416 3015020    0    0     0     0 22098 115885 47 50  1  2  0  0
22  4      0 11890856 108416 3016836    0    0     0     0 23487 124664 48 49  2  1  0  0
12  4      0 11893160 108416 2993920    0    0     0     0 20759 108065 52 46  1  1  0  0
19  4      0 11886356 108416 2995556    0    0     0     0 20607 117190 47 51  1  1  0  0
14  4      0 11884932 108416 2996916    0    0     0     0 21925 118078 47 51  1  2  0  0
15  4      0 11883980 108416 2998840    0    0     0    28 23087 123225 48 50  1  2  0  0
15  4      0 11883112 108416 3000048    0    0     0     0 22808 122302 49 49  1  1  0  0
22  4      0 11881880 108416 3002060    0    0     0     0 22055 119599 48 50  1  1  0  0
16  4      0 11881432 108416 3003308    0    0     0     0 22801 120732 47 51  1  1  0  0
13  4      0 11881208 108416 3004944    0    0     0     0 20580 118551 46 51  1  1  1  0
