procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11943076 108316 3004644    0    0    54   785 8047   59  8  8 71 12  0  0
13  4      0 11940988 108316 3005648    0    0     0     0 24466 126251 49 48  2  2  0  0
15  4      0 11943060 108316 3006732    0    0     0     0 25381 126408 51 46  1  2  0  0
11  4      0 11945580 108316 3007840    0    0     0     0 22747 123656 53 46  1  1  0  0
14  4      0 11947152 108316 3008876    0    0     0     0 24227 124444 52 46  2  1  0  0
27  4      0 11947904 108316 3009984    0    0     0     0 24976 130512 52 46  1  1  0  0
13  4      0 11948856 108316 3011184    0    0     0 29772 25065 124109 51 47  2  1  0  0
10  4      0 11947952 108316 3012340    0    0     0  2324 23496 122679 50 46  3  0  0  0
11  4      0 11945432 108316 3013324    0    0     0     0 24823 130379 52 46  2  0  0  0
14  4      0 11943456 108316 3014440    0    0     0     0 25219 134663 51 48  1  0  0  0
12  4      0 11940684 108324 3015516    0    0     0   132 26210 138714 51 48  1  0  0  0
12  4      0 11938108 108324 3016656    0    0     0  1440 25225 137246 51 49  0  1  0  0
14  4      0 11935336 108324 3017816    0    0     0     0 22795 127872 51 48  1  0  0  0
19  4      0 11934272 108324 3017808    0    0     0     0 23502 128783 52 46  2  0  0  0
 5  4      0 11965636 108324 2989512    0    0     0     0 23688 117151 54 42  3  0  0  0
13  4      0 11964432 108324 2990548    0    0     0     0 24772 121477 50 46  3  1  0  0
20  4      0 11963676 108324 2991608    0    0     0 28140 26113 127426 51 46  2  0  0  0
15  4      0 11963368 108324 2992688    0    0     0    12 24963 120836 51 45  4  0  0  0
15  4      0 11962892 108324 2993808    0    0     0  2360 25097 126547 50 47  2  1  0  0
13  4      0 11962024 108324 2994880    0    0     0     0 24621 130004 51 47  1  0  0  0
16  4      0 11958412 108324 2995992    0    0     0     0 25833 129183 50 47  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  4      0 11955260 108340 2996972    0    0     0  2868 25372 125288 50 47  2  0  0  0
12  4      0 11952628 108348 2998084    0    0     0    64 22828 119697 51 46  1  1  1  0
24  4      0 11946412 108348 2999144    0    0     0     0 24981 114210 50 44  3  1  2  0
11  4      0 11932972 108348 3000092    0    0     0     0 21271 104913 50 48  1  1  0  0
10  4      0 11932972 108356 3001152    0    0     0    64 25030 128209 51 49  0  1  0  0
13  4      0 11932972 108356 3002180    0    0     0    24 24693 123471 50 47  2  1  0  0
14  4      0 11932972 108356 3003356    0    0     0     0 24631 125875 51 46  1  2  0  0
13  4      0 11932720 108356 3004508    0    0     0  3016 26005 135335 50 48  2  1  0  0
 9  4      0 11932720 108356 3005416    0    0     0     0 25748 125452 49 46  3  1  1  0
 9  4      0 11932720 108356 3006536    0    0     0     0 26389 138171 50 50  0  0  0  0
