procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11927456 108264 3009560    0    0    55   783 7853   56  8  8 72 12  0  0
14  1      0 11927096 108264 3011172    0    0     0     0 25338 120951 39 53  4  4  0  0
16  1      0 11932380 108264 3012912    0    0     0     0 27204 127837 40 53  4  3  0  0
 6  3      0 11935728 108264 3014384    0    0     0     0 27414 128336 40 52  4  4  0  0
19  1      0 11935144 108264 3016472    0    0     0     0 24223 119941 39 53  4  4  0  0
18  0      0 11950456 108264 2996100    0    0     0 17920 22718 107057 46 47  4  3  0  0
18  1      0 11948888 108264 2997720    0    0     0     0 26361 126383 41 53  4  2  0  0
13  2      0 11947156 108264 2999348    0    0     0  2520 25229 118275 38 52  4  3  2  0
14  1      0 11946624 108264 3001044    0    0     0     0 25052 120840 40 51  5  4  1  0
21  1      0 11946120 108272 3002652    0    0     0   140 25562 122658 40 53  4  3  0  0
19  2      0 11944860 108272 3004304    0    0     0 17664 26049 123273 39 52  5  3  1  0
13  2      0 11940280 108272 3006184    0    0     0     0 25659 125833 40 54  3  3  0  0
15  3      0 11937004 108272 3007992    0    0     0     0 25344 119791 39 53  4  3  1  0
14  2      0 11935940 108272 3009656    0    0     0     0 24387 123835 41 53  4  3  0  0
18  0      0 11933616 108272 3011148    0    0     0     0 25418 118508 40 51  4  3  2  0
18  0      0 11931096 108272 3012912    0    0     0     0 26414 124940 39 53  4  4  0  0
 8  4      0 11929388 108272 3014712    0    0     0   940 27304 126080 40 53  4  3  0  0
18  0      0 11928772 108272 3016396    0    0     0    12 26272 119586 39 51  5  4  1  0
21  3      0 11927076 108280 3018152    0    0     0  1152 26872 128823 41 52  4  3  0  0
12  0      0 11924164 108292 3019688    0    0     0    48 25211 124024 39 54  4  3  0  0
 9  4      0 11917780 108292 3021624    0    0     0     0 25478 123886 40 52  4  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 11902520 108292 3023208    0    0     0     0 25547 119568 39 53  5  3  1  0
11  2      0 11899608 108292 3025068    0    0     0     0 25449 122734 39 53  5  3  1  0
12  1      0 11888072 108292 3026876    0    0     0     0 24981 123959 41 52  4  3  0  0
17  0      0 11887260 108292 3028664    0    0     0     0 23545 118883 39 53  4  4  1  0
15  2      0 11893784 108292 3012200    0    0     0     0 22050 107485 46 48  3  3  0  0
17  2      0 11917136 108292 2996660    0    0     0     0 24082 115477 42 50  5  4  0  0
15  4      0 11905584 108292 2998092    0    0     0     0 22669 110242 39 53  4  3  0  0
19  0      0 11905804 108292 2999764    0    0     0     0 25603 123154 40 52  4  3  0  0
21  2      0 11905804 108292 3001704    0    0     0     0 25450 125720 40 52  5  3  0  0
 2  4      0 11906408 108292 3003292    0    0     0     0 24963 123493 40 52  5  3  0  0
