procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  4      0 11866332 108480 3004048    0    0    51   807 8771   69 10 10 68 12  0  0
19  4      0 11864120 108480 3005312    0    0     0     0 26628 123332 44 49  0  6  0  0
17  4      0 11861096 108480 3006756    0    0     0     0 25613 119650 46 48  1  5  0  0
21  4      0 11858884 108480 3008256    0    0     0     0 25934 122127 44 50  2  4  0  0
16  4      0 11856028 108480 3009572    0    0     0     0 25628 122609 46 49  1  4  0  0
22  4      0 11853984 108480 3011268    0    0     0     0 25943 122710 45 48  1  6  0  0
15  4      0 11852332 108480 3012784    0    0     0     0 26176 127910 45 49  4  3  0  0
18  4      0 11849980 108480 3014044    0    0     0  1276 24960 121605 44 49  5  2  1  0
19  4      0 11847992 108480 3015512    0    0     0     0 23449 114366 43 47  5  1  4  0
20  4      0 11846676 108480 3017028    0    0     0     0 25449 121461 44 49  4  3  1  0
15  4      0 11843568 108480 3018324    0    0     0     0 27352 127561 43 50  3  3  1  0
13  4      0 11841916 108480 3019756    0    0     0     0 26072 121459 44 49  3  3  0  0
17  4      0 11839816 108480 3021156    0    0     0  2556 25680 120411 45 49  4  3  0  0
17  4      0 11826152 108480 3022748    0    0     0     0 25944 120835 45 48  4  3  0  0
 9  4      0 11824584 108480 3024076    0    0     0     0 25313 120109 43 48  3  4  2  0
12  4      0 11823352 108480 3025448    0    0     0     0 25951 125492 47 47  4  1  2  0
10  4      0 11838948 108480 2998188    0    0     0     0 22615 102567 51 42  3  2  2  0
15  4      0 11838024 108480 2999276    0    0     0     0 24765 116213 43 49  4  3  2  0
13  4      0 11837660 108480 3000520    0    0     0 31340 25659 118509 44 48  3  4  1  0
12  4      0 11837184 108480 3002116    0    0     0  3060 25859 125169 45 49  3  4  0  0
13  4      0 11836176 108480 3003584    0    0     0     0 25578 126121 44 49  3  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  4      0 11834972 108480 3005116    0    0     0     0 24525 122566 44 49  2  5  0  0
13  4      0 11832984 108480 3006528    0    0     0     0 24838 120778 45 48  0  6  2  0
14  4      0 11831220 108480 3007828    0    0     0    24 24182 119981 46 47  1  5  1  0
18  4      0 11829288 108480 3009316    0    0     0     0 25891 125748 45 48  2  5  0  0
11  4      0 11824556 108488 3010720    0    0     0   148 25114 119581 45 48  2  4  2  0
10  4      0 11807896 108488 3012136    0    0     0     0 24643 122681 46 48  3  3  0  0
17  4      0 11805292 108488 3013736    0    0     0     0 26029 123207 45 49  3  3  1  0
22  4      0 11805040 108488 3015096    0    0     0   160 28058 128722 44 49  3  4  0  0
20  4      0 11803640 108488 3016720    0    0     0     0 25666 123763 47 47  3  3  0  0
16  4      0 11802828 108488 3018004    0    0     0     0 24585 122011 46 48  2  4  0  0
 9  4      0 11801904 108488 3019620    0    0     0     0 24642 122947 46 48  3  3  0  0
15  4      0 11801176 108488 3021000    0    0     0     0 23788 119559 47 48  3  3  0  0
20  4      0 11800504 108488 3022560    0    0     0     0 25652 124667 46 48  4  2  0  0
17  4      0 11800584 108488 3024156    0    0     0     4 25810 126187 46 48  3  3  0  0
14  4      0 11800584 108488 3025444    0    0     0     0 25366 125509 45 49  3  3  0  0
14  4      0 11831360 108488 2996260    0    0     0     0 22430 108609 53 43  3  2  0  0
16  4      0 11833268 108488 2997376    0    0     0     0 25007 122941 47 47  3  3  0  0
21  4      0 11831756 108488 2998892    0    0     0  1172 25635 121471 45 49  3  2  0  0
17  4      0 11831252 108488 3000476    0    0     0     0 24224 122120 46 48  3  3  0  0
16  4      0 11829236 108488 3002132    0    0     0     0 24287 123866 45 50  3  2  0  0
18  4      0 11826632 108488 3003552    0    0     0     0 26234 125938 46 48  4  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  4      0 11821592 108488 3004840    0    0     0     0 24762 125045 46 49  4  1  0  0
11  4      0 11812372 108496 3006324    0    0     0   644 23269 111202 45 49  4  2  0  0
16  4      0 11812032 108496 3007780    0    0     0  2752 27073 123160 44 48  5  2  0  0
15  4      0 11810952 108496 3009220    0    0     0     0 26064 121180 47 47  5  1  0  0
19  4      0 11809804 108496 3010688    0    0     0     0 26574 125644 46 49  3  2  1  0
16  4      0 11809104 108496 3011916    0    0     0     0 26298 125676 47 48  3  2  0  0
16  4      0 11807032 108496 3013588    0    0     0 28860 24963 123149 44 50  4  2  1  0
22  4      0 11802832 108496 3014928    0    0     0     0 25880 128800 47 48  3  2  0  0
20  4      0 11777240 108496 3016736    0    0     0  2412 25010 121847 46 47  5  2  0  0
