procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  4      0 11877400 109120 2994116    0    0    45   862 10690   92 14 14 61 12  0  0
13  4      0 11841084 109120 2995212    0    0     0     0 24284 107532 51 44  2  2  0  0
19  4      0 11844416 109120 2996728    0    0     0     0 26277 121995 46 47  5  2  0  0
15  4      0 11830528 109120 2998148    0    0     0  1888 24519 116570 47 48  5  1  0  0
14  4      0 11840716 109120 2999632    0    0     0     0 23961 119793 45 49  4  1  0  0
14  4      0 11841624 109120 3001120    0    0     0     0 24231 124996 46 48  4  2  0  0
16  4      0 11820536 109120 3002392    0    0     0     0 24062 114969 49 46  4  1  0  0
13  4      0 11822296 109120 3003920    0    0     0     0 26055 127812 45 49  4  2  0  0
16  4      0 11830448 109120 3005172    0    0     0     0 22547 106585 48 46  4  2  0  0
19  4      0 11830700 109120 3006716    0    0     0  1368 24698 121337 45 49  3  3  0  0
19  4      0 11812688 109120 3008164    0    0     0     0 26378 124977 46 48  2  3  0  0
17  4      0 11821744 109120 3009552    0    0     0     0 24976 116711 48 47  1  5  0  0
21  4      0 11822160 109120 3011164    0    0     0     0 25152 123180 45 49  2  4  0  0
14  4      0 11813452 109152 3012384    0    0     0  2612 23907 111550 47 48  2  4  0  0
14  4      0 11811128 109160 3013976    0    0     0    44 26659 127576 45 49  2  4  0  0
31  4      0 11792788 109160 3015428    0    0     0     0 23677 111727 49 46  2  4  0  0
14  4      0 11803988 109160 3016828    0    0     0     0 25106 119739 45 49  2  4  0  0
17  4      0 11807680 109160 3018364    0    0     0     0 25999 122105 46 47  3  4  0  0
14  4      0 11815248 109160 3019604    0    0     0     8 23973 110324 50 45  2  3  0  0
 5  4      0 11834208 109160 2998668    0    0     0     0 25472 119494 49 45  2  3  0  0
14  4      0 11821532 109160 2999968    0    0     0     0 25388 116964 49 46  4  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  4      0 11824108 109160 3001368    0    0     0  1772 26117 121759 46 49  4  2  0  0
18  4      0 11816900 109160 3002856    0    0     0     0 24183 122410 47 48  3  2  0  0
 8  4      0 11830204 109160 3004268    0    0     0 30928 25082 120543 45 48  5  1  0  0
17  4      0 11831944 109160 3005764    0    0     0  2616 26811 130154 44 52  3  2  0  0
12  4      0 11829884 109160 3007092    0    0     0     0 24221 111596 47 47  2  4  0  0
18  4      0 11816780 109160 3008552    0    0     0     4 26217 123928 45 50  2  4  0  0
15  4      0 11789696 109160 3009844    0    0     0     0 23655 110646 49 46  2  3  0  0
12  4      0 11789668 109160 3011392    0    0     0     0 25971 128503 45 49  3  3  0  0
26  0      0 11774776 109160 3012776    0    0     0     0 25565 123138 48 47  3  2  0  0
11  4      0 11784296 109160 3014148    0    0     0     0 23863 110327 47 48  4  1  0  0
18  4      0 11791384 109160 3015712    0    0     0     0 26136 127408 45 49  3  3  0  0
14  3      0 11791476 109160 3016956    0    0     0     0 24924 112615 47 47  3  3  0  0
20  3      0 11794848 109160 3018480    0    0     0     0 26022 124022 44 49  3  3  0  0
13  4      0 11799456 109160 3019792    0    0     0  3272 23569 113171 46 50  3  2  0  0
19  0      0 11799456 109160 3021272    0    0     0     0 24406 118778 46 49  5  1  0  0
20  3      0 11782712 109160 3022796    0    0     0     0 25881 125285 46 48  5  1  0  0
17  4      0 11800616 109160 3024104    0    0     0     0 24724 113484 47 48  4  2  0  0
12  4      0 11799412 109160 3025496    0    0     0     0 24391 118624 45 50  3  2  0  0
18  4      0 11822192 109184 2996464    0    0     0  2852 21853 101037 54 42  3  1  0  0
16  4      0 11821320 109184 2997980    0    0     0     0 26957 128340 45 49  5  1  0  0
18  4      0 11798948 109184 2999472    0    0     0     0 24502 119894 48 47  3  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11795620 109184 3000804    0    0     0     0 24415 121062 47 48  4  2  0  0
16  4      0 11800152 109184 3002388    0    0     0     0 26747 131143 46 49  4  1  0  0
17  4      0 11782044 109184 3003800    0    0     0   100 22919 116101 48 48  3  1  0  0
15  4      0 11785732 109184 3005256    0    0     0     0 25823 129553 45 50  4  1  0  0
15  4      0 11766596 109184 3006648    0    0     0     0 24578 117664 49 47  4  1  0  0
14  4      0 11770396 109184 3008128    0    0     0     0 25097 125558 46 49  4  1  0  0
20  4      0 11764496 109184 3009600    0    0     0     0 24263 118333 48 47  4  1  0  0
17  4      0 11787400 109184 3011004    0    0     0     0 24475 118117 48 49  2  1  0  0
16  4      0 11788080 109184 3012504    0    0     0     0 26943 129277 45 50  3  2  0  0
11  4      0 11770360 109184 3013776    0    0     0     0 24711 117002 49 47  2  2  0  0
12  4      0 11737788 109184 3015340    0    0     0  1756 25467 124454 45 49  4  2  0  0
17  4      0 11717716 109184 3016648    0    0     0     0 22326 108277 49 47  4  1  0  0
19  4      0 11718696 109184 3018164    0    0     0 27952 26349 126262 45 50  4  2  0  0
14  4      0 11709592 109184 3019504    0    0     0     0 21730 103525 46 50  2  2  0  0
16  4      0 11730416 109184 3020684    0    0     0     0 23587 110777 46 49  2  3  0  0
15  4      0 11739576 109184 3022168    0    0     0    12 25550 124175 45 51  2  3  0  0
12  4      0 11728032 109184 3023536    0    0     0     0 22655 113704 47 48  2  2  0  0
13  4      0 11754852 109184 2997552    0    0     0    16 23502 113461 51 45  3  2  0  0
20  4      0 11776516 109184 2998960    0    0     0     0 23141 114286 49 46  4  1  0  0
15  4      0 11778908 109184 3000324    0    0     0     0 24820 125264 47 48  4  1  0  0
20  4      0 11781432 109184 3001932    0    0     0     0 26481 128756 47 48  3  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  4      0 11763116 109184 3003228    0    0     0     0 24847 119500 49 47  3  1  0  0
18  4      0 11768564 109184 3004784    0    0     0     0 26869 129746 46 49  3  2  0  0
15  4      0 11770640 109196 3006168    0    0     0  4312 22792 110516 50 45  3  2  0  0
12  4      0 11770640 109220 3007624    0    0     0   808 25510 125896 45 49  4  2  0  0
14  4      0 11750804 109220 3009064    0    0     0     0 23842 118037 49 47  2  2  0  0
11  4      0 11758584 109220 3010468    0    0     0     0 24113 118750 47 49  3  1  0  0
20  5      0 11758584 109220 3011884    0    0     0 24256 26703 129021 47 49  2  2  0  0
14  5      0 11768132 109220 3013236    0    0     0  7996 23781 113615 47 48  3  2  0  0
17  4      0 11767180 109220 3014704    0    0     0   876 26613 126608 46 48  2  3  0  0
16  4      0 11752072 109220 3015980    0    0     0  2480 24538 117047 50 47  2  2  0  0
16  4      0 11752072 109220 3017580    0    0     0     0 26877 128418 44 50  2  3  0  0
16  4      0 11742020 109220 3019088    0    0     0     0 25845 124328 47 49  2  3  0  0
19  4      0 11756864 109220 3020480    0    0     0     0 23974 120478 46 49  1  3  0  0
17  4      0 11756360 109220 3022140    0    0     0     0 25125 128262 46 50  2  3  0  0
17  4      0 11740936 109220 3023464    0    0     0     0 23373 117263 49 48  1  2  0  0
17  4      0 11741328 109220 3024920    0    0     0     0 25114 123089 46 50  2  2  0  0
19  4      0 11764720 109220 2998424    0    0     0     0 21473 105711 55 42  1  2  0  0
18  4      0 11766044 109220 2999852    0    0     0     0 25101 122764 48 48  2  2  0  0
15  4      0 11762052 109220 3001436    0    0     0     0 24157 125684 47 49  3  1  0  0
14  4      0 11755100 109220 3002864    0    0     0     0 23156 120071 48 48  3  0  0  0
20  4      0 11756804 109220 3004400    0    0     0     0 24618 129627 46 51  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  4      0 11745960 109220 3005760    0    0     0     0 23789 114740 49 47  2  2  0  0
10  4      0 11748004 109220 3007292    0    0     0     8 24157 127281 46 51  2  2  0  0
16  4      0 11744680 109220 3008844    0    0     0     0 23772 122289 48 49  1  2  0  0
16  4      0 11745604 109220 3010344    0    0     0     0 26588 127243 47 49  2  2  0  0
16  4      0 11748776 109220 3011860    0    0     0     0 26767 131399 45 51  2  3  0  0
11  1      0 11750992 109220 3013244    0    0     0     0 23972 118851 48 49  1  2  0  0
13  4      0 11749984 109220 3014796    0    0     0 28648 25757 126519 46 49  2  3  0  0
16  4      0 11739860 109228 3016088    0    0     0  3772 24236 116953 49 47  3  1  0  0
15  4      0 11739104 109244 3017704    0    0     0  3092 24614 127334 46 50  2  2  0  0
26  4      0 11719308 109248 3019112    0    0     0    60 24584 122104 48 48  1  2  0  0
15  4      0 11733584 109248 3020636    0    0     0     0 24030 123352 46 49  2  3  0  0
21  4      0 11731876 109248 3022152    0    0     0     8 25257 128665 45 51  2  2  1  0
19  4      0 11727128 109248 3023364    0    0     0     0 23388 111953 48 48  2  2  0  0
13  4      0 11725672 109248 3025000    0    0     0     8 26558 126305 45 50  3  2  0  0
15  4      0 11708492 109248 3026248    0    0     0     0 23202 114465 49 47  2  2  0  0
17  4      0 11720560 109248 2998736    0    0     0     0 23231 111168 52 43  3  2  0  0
 4  4      0 11690612 109248 3000200    0    0     0  1448 24770 116556 46 48  5  1  0  0
