procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  4      0 11906952 108584 3003452    0    0    49   822 9388   77 11 11 66 12  0  0
22  4      0 11883008 108592 3004288    0    0     0   188 23566 107259 49 46  2  3  0  0
11  4      0 11882084 108592 3005944    0    0     0    12 25932 123879 45 48  3  4  0  0
17  4      0 11876268 108592 3007372    0    0     0     4 25813 119782 47 47  3  3  0  0
16  4      0 11875616 108592 3008668    0    0     0    12 24714 117077 47 47  3  3  0  0
16  4      0 11884104 108592 3010244    0    0     0    80 26597 127734 44 51  2  3  0  0
17  4      0 11879328 108592 3011576    0    0     0    16 24058 113474 49 45  3  3  0  0
17  4      0 11876300 108592 3013064    0    0     0     0 25892 126940 46 48  4  2  0  0
23  4      0 11854032 108592 3014512    0    0     0    16 23538 116017 48 46  4  1  0  0
18  4      0 11861480 108592 3015884    0    0     0     0 24900 121499 46 48  4  2  1  0
16  4      0 11859756 108592 3017220    0    0     0 11536 25302 124157 46 47  5  1  0  0
10  4      0 11846228 108592 3018620    0    0     0    16 22601 107385 48 46  4  2  0  0
17  4      0 11848044 108592 3019900    0    0     0     0 23745 113640 44 50  3  2  0  0
11  4      0 11866600 108592 3021108    0    0     0    16 23958 115072 49 46  3  2  0  0
12  4      0 11854576 108592 3022576    0    0     0     0 23927 116983 45 48  2  5  1  0
18  4      0 11836152 108592 3024044    0    0     0     8 26421 126876 46 48  2  4  0  0
12  4      0 11838864 108592 3025484    0    0     0    12 25097 118738 47 47  3  3  0  0
18  4      0 11851652 108592 3011500    0    0     0     0 21279 107253 51 43  3  3  0  0
16  4      0 11866640 108592 2997624    0    0     0  1828 22873 108705 50 45  3  2  0  0
15  4      0 11866268 108592 2999016    0    0     0     0 25476 120839 46 47  4  3  0  0
20  4      0 11846068 108592 3000360    0    0     0 30836 25906 119122 47 46  4  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11857452 108592 3001968    0    0     0  1416 24547 115838 47 48  3  2  0  0
10  4      0 11862732 108592 3003332    0    0     0     0 24976 118725 47 46  5  2  0  0
16  4      0 11841312 108592 3004616    0    0     0    16 24683 118152 49 45  3  2  0  0
15  4      0 11841256 108592 3006196    0    0     0     0 26507 126168 47 48  4  2  0  0
21  4      0 11836388 108592 3007492    0    0     0    32 24311 119263 48 47  3  2  0  0
15  4      0 11835132 108592 3008828    0    0     0     0 25501 119985 48 46  2  4  0  0
12  4      0 11820520 108592 3010332    0    0     0     0 25753 125356 46 49  2  2  0  0
11  4      0 11794388 108592 3011724    0    0     0    16 25126 117399 48 46  3  2  0  0
17  4      0 11796196 108608 3012996    0    0     0  2872 24569 116619 44 45  5  2  5  0
14  4      0 11804524 108612 3014480    0    0     0   108 23558 112615 49 46  4  1  0  0
13  4      0 11811880 108612 3015752    0    0     0     0 24869 119024 46 46  5  2  1  0
23  4      0 11817632 108612 3017208    0    0     0     0 23054 119088 45 48  3  3  1  0
14  4      0 11807432 108612 3018436    0    0     0    16 25133 116495 50 45  2  3  0  0
18  4      0 11820104 108612 3020156    0    0     0     8 25752 120580 46 48  3  3  0  0
12  4      0 11831036 108612 3020964    0    0     0    16 25458 117731 49 45  2  3  1  0
22  4      0 11830720 108612 3022592    0    0     0   592 23479 110631 45 45  1  6  3  0
19  4      0 11840332 108612 3008524    0    0     0     4 22316 106936 51 43  2  3  1  0
16  4      0 11843772 108612 2994856    0    0     0    12 24400 115193 50 44  3  3  0  0
12  4      0 11842036 108612 2996368    0    0     0     0 25060 119913 45 49  3  3  0  0
15  4      0 11829768 108612 2997556    0    0     0    16 22995 114344 49 46  3  3  0  0
20  4      0 11832668 108612 2999112    0    0     0  3060 25083 127643 47 47  5  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  4      0 11819940 108612 3000436    0    0     0     4 23453 120420 47 48  4  1  0  0
12  4      0 11842856 108612 3001980    0    0     0    12 24365 114176 49 46  4  1  0  0
12  4      0 11842856 108612 3003396    0    0     0     0 24751 123489 46 49  5  1  0  0
18  4      0 11816464 108612 3004760    0    0     0    16 24333 118025 49 45  3  2  0  0
15  4      0 11815484 108612 3006040    0    0     0     4 25220 123124 45 49  3  3  0  0
16  4      0 11791080 108612 3007600    0    0     0     4 21728 111322 47 47  3  4  0  0
10  4      0 11818140 108612 3009036    0    0     0  2520 24440 115352 47 47  4  2  0  0
15  4      0 11819192 108612 3010464    0    0     0     0 24088 120714 46 48  4  2  0  0
11  4      0 11795192 108612 3011868    0    0     0    16 25039 116139 48 46  4  2  0  0
15  4      0 11795288 108612 3013416    0    0     0 27416 26615 128235 44 50  4  2  0  0
16  4      0 11770172 108612 3014676    0    0     0  1052 24858 116289 48 46  4  2  0  0
11  4      0 11756880 108612 3016188    0    0     0    12 24945 118973 45 49  3  4  0  0
21  4      0 11750764 108612 3017788    0    0     0     0 24333 120640 44 49  3  3  0  0
18  4      0 11736380 108612 3019292    0    0     0    16 24129 113650 48 46  3  3  0  0
14  4      0 11743664 108612 3020520    0    0     0     4 27217 128882 46 48  3  2  0  0
13  4      0 11752604 108612 3008060    0    0     0    28 22712 107459 54 42  3  1  0  0
13  4      0 11766980 108612 2996448    0    0     0     0 24600 116810 49 45  4  3  0  0
