procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  4      0 11881716 109452 3005792    0    0    43   888 11396  101 15 15 58 12  0  0
10  4      0 11892888 109452 2992888    0    0     0     0 22218 112002 53 44  2  1  0  0
14  4      0 11892524 109452 2994184    0    0     0     0 25155 123848 52 45  3  0  0  0
17  4      0 11892244 109452 2995184    0    0     0     0 26829 135832 50 48  2  0  0  0
10  4      0 11891236 109452 2996340    0    0     0    12 25586 132007 49 48  3  1  0  0
14  4      0 11889192 109452 2997532    0    0     0     0 24759 120158 51 44  3  2  0  0
 8  4      0 11883156 109452 2998844    0    0     0    12 24094 126347 51 46  2  1  0  0
13  4      0 11872144 109452 2999824    0    0     0     0 21690 112479 51 46  3  0  0  0
13  4      0 11871924 109452 3000820    0    0     0     0 22508 109728 49 49  2  1  0  0
11  4      0 11871924 109456 3001984    0    0     0  3416 23569 120732 51 46  2  1  0  0
17  4      0 11871932 109456 3003168    0    0     0     0 23200 120382 51 46  2  1  0  0
11  4      0 11869720 109456 3004204    0    0     0     0 25030 128504 51 47  2  0  0  0
 4  4      0 11868432 109456 3005160    0    0     0     0 26592 136409 50 48  1  1  0  0
14  4      0 11866612 109456 3006648    0    0     0     0 26323 129983 50 46  3  2  0  0
12  4      0 11865884 109456 3007924    0    0     0  2960 24798 127939 51 46  3  1  0  0
12  4      0 11864008 109456 3009068    0    0     0     0 23476 126355 52 46  2  1  0  0
13  4      0 11860340 109456 3010376    0    0     0     0 25484 135022 51 48  1  1  0  0
14  4      0 11859136 109456 3011324    0    0     0     0 25835 124624 48 45  3  4  0  0
12  4      0 11855328 109456 3012616    0    0     0     0 25076 133365 51 46  1  1  0  0
14  4      0 11853648 109456 3013540    0    0     0     8 24519 127399 50 47  3  1  0  0
13  4      0 11860140 109456 3003144    0    0     0     0 23084 125088 52 45  1  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  4      0 11875700 109456 2994248    0    0     0     0 22869 120732 53 44  2  1  0  0
19  4      0 11874828 109456 2995140    0    0     0     0 25638 119192 50 45  2  3  0  0
11  4      0 11874080 109456 2996236    0    0     0     0 24234 118909 52 45  4  0  0  0
 9  4      0 11873268 109456 2997480    0    0     0     0 24828 117167 50 44  5  1  0  0
12  4      0 11871924 109456 2998524    0    0     0     8 23382 119627 51 46  3  1  0  0
12  4      0 11870972 109456 2999632    0    0     0     0 21918 114671 51 46  2  1  0  0
18  4      0 11868424 109456 3000864    0    0     0     0 22032 116267 52 45  2  1  0  0
16  4      0 11865400 109456 3001680    0    0     0     0 25396 130613 50 47  3  1  0  0
16  4      0 11862712 109456 3003144    0    0     0     0 24277 125836 50 46  3  1  0  0
11  4      0 11857840 109456 3004216    0    0     0     0 24041 122642 51 46  2  1  0  0
10  4      0 11850692 109456 3005400    0    0     0  2328 23980 131714 51 47  1  2  0  0
16  4      0 11845740 109456 3006788    0    0     0     0 25062 133058 51 47  1  1  0  0
15  4      0 11840004 109456 3007760    0    0     0     0 23978 126435 52 46  2  1  0  0
 9  4      0 11833284 109456 3009036    0    0     0     0 24796 125612 51 46  2  1  0  0
14  4      0 11829084 109456 3010408    0    0     0 22752 23426 123826 50 46  2  2  0  0
13  4      0 11825760 109456 3011488    0    0     0     0 23567 130070 52 46  1  1  0  0
13  4      0 11824640 109456 3012580    0    0     0     0 21874 117814 51 47  2  1  1  0
10  4      0 11823828 109484 3013796    0    0     0  2488 23990 125108 52 47  1  1  0  0
 9  4      0 11823128 109484 3014820    0    0     0     8 24997 130361 50 48  2  0  0  0
15  4      0 11832824 109484 3003176    0    0     0     0 26172 126597 54 44  2  1  0  0
10  4      0 11845024 109484 2993760    0    0     0     0 24614 125125 53 45  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  4      0 11844184 109484 2994904    0    0     0     0 25292 125567 50 47  2  1  0  0
10  4      0 11843568 109484 2996068    0    0     0     0 25432 131886 52 47  1  1  0  0
19  4      0 11842644 109484 2997244    0    0     0     0 24586 130134 52 46  1  1  0  0
12  4      0 11841888 109484 2998240    0    0     0   308 25864 126478 51 45  2  2  0  0
10  4      0 11840572 109484 2999324    0    0     0     0 25230 123054 50 46  2  2  0  0
15  4      0 11839256 109484 3000708    0    0     0     0 25027 127448 51 46  2  1  0  0
13  4      0 11839256 109484 3001872    0    0     0     0 25104 129669 52 45  2  2  0  0
14  4      0 11837744 109484 3002740    0    0     0     0 24847 122749 51 45  1  3  0  0
 9  4      0 11836652 109484 3004004    0    0     0     8 25984 125446 51 45  4  1  0  0
10  4      0 11837948 109484 3005048    0    0     0     0 25773 129154 52 45  2  1  0  0
14  4      0 11837948 109484 3006276    0    0     0  1608 23147 112433 48 44  3  1  4  0
14  4      0 11835260 109484 3007196    0    0     0     0 27451 127194 50 44  5  1  0  0
13  4      0 11832680 109484 3008320    0    0     0     0 27593 126596 49 46  3  2  0  0
16  4      0 11827732 109484 3009504    0    0     0 22824 25934 126503 48 47  3  2  0  0
11  4      0 11824036 109484 3010828    0    0     0     0 25472 125285 50 46  2  2  0  0
 9  4      0 11819612 109484 3011752    0    0     0     0 26394 125662 50 46  0  4  0  0
12  4      0 11815552 109484 3012924    0    0     0     0 24512 121724 50 46  1  3  0  0
13  4      0 11812920 109484 3013948    0    0     0     0 25054 127342 51 47  1  2  0  0
