procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  4      0 11888756 108896 2990796    0    0    47   850 10202   86 13 13 63 12  0  0
13  4      0 11842736 108900 2991392    0    0     0     0 20837 100646 54 43  1  2  0  0
11  4      0 11853864 108900 2992724    0    0     0     0 24742 122136 48 48  1  3  0  0
12  4      0 11838884 108900 2993804    0    0     0    12 25533 122774 51 45  1  4  0  0
15  4      0 11860332 108900 2994844    0    0     0  1652 24775 121632 50 47  1  2  0  0
 8  4      0 11862404 108900 2995980    0    0     0  1740 25285 128594 50 48  1  2  0  0
12  4      0 11872940 108900 2996896    0    0     0     0 23836 109263 51 45  1  3  0  0
11  4      0 11872688 108900 2998000    0    0     0     0 25260 121466 49 46  2  3  0  0
13  4      0 11863728 108900 2998920    0    0     0     0 24635 114784 52 45  2  1  0  0
12  4      0 11864236 108900 2999860    0    0     0     0 24923 115447 47 45  5  2  2  0
16  4      0 11857852 108900 3000944    0    0     0     0 24940 123030 50 45  3  1  1  0
18  4      0 11831728 108900 3001956    0    0     0     0 21194 99094 52 43  2  2  0  0
16  4      0 11831728 108900 3003096    0    0     0     0 25092 123970 51 46  2  2  0  0
12  4      0 11819512 108900 3004128    0    0     0     0 24075 113670 53 45  2  0  0  0
 9  4      0 11825408 108900 3005248    0    0     0     0 25818 122557 49 46  2  3  1  0
22  4      0 11814236 108900 3006232    0    0     0     0 25331 115048 50 44  1  4  0  0
19  4      0 11813356 108920 3007304    0    0     0  2220 23752 116517 51 45  3  1  0  0
12  4      0 11817500 108920 3008432    0    0     0     0 23335 120770 50 46  3  1  0  0
10  4      0 11824840 108920 3009456    0    0     0     0 23594 109972 51 44  3  2  0  0
10  4      0 11830088 108920 3010584    0    0     0     0 25787 127219 49 47  2  2  0  0
15  4      0 11827064 108920 3011536    0    0     0     0 25252 119058 50 46  2  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  4      0 11826812 108920 3012608    0    0     0  2384 26052 132248 51 47  1  1  0  0
15  4      0 11823544 108920 3013680    0    0     0     0 25893 130616 52 46  3  0  0  0
14  4      0 11829168 108920 3014580    0    0     0     0 25582 117041 50 45  6  0  0  0
14  4      0 11825096 108920 3015680    0    0     0     0 22718 113123 51 45  3  1  0  0
15  4      0 11807864 108920 3016516    0    0     0     0 18959 82695 52 45  1  2  0  0
18  4      0 11812004 108920 3017656    0    0     0   104 23201 116609 50 46  3  1  1  0
13  4      0 11803392 108920 3018768    0    0     0     0 24451 122926 51 45  3  1  0  0
11  4      0 11842872 108920 2996828    0    0     0     0 19934 96500 56 41  3  1  0  0
10  4      0 11842520 108920 2997956    0    0     0  2264 23389 115591 50 46  3  1  0  0
18  4      0 11832216 108920 2998808    0    0     0     0 23689 105506 52 45  2  1  0  0
14  4      0 11833532 108920 2999872    0    0     0 29088 27263 133438 51 48  1  0  0  0
15  4      0 11811608 108920 3000912    0    0     0    12 26075 125428 53 44  2  0  0  0
14  4      0 11812012 108920 3001936    0    0     0     0 24058 118472 49 47  2  1  0  0
11  4      0 11810588 108920 3003132    0    0     0     8 24785 128678 50 47  2  1  0  0
16  4      0 11812448 108920 3004108    0    0     0  1300 23947 115782 51 45  2  2  0  0
14  4      0 11813316 108920 3005160    0    0     0  2492 26007 125692 49 47  2  3  0  0
15  4      0 11807464 108920 3006140    0    0     0     0 24179 113761 53 45  2  1  0  0
15  4      0 11806192 108920 3007188    0    0     0     0 24928 123513 51 46  2  1  0  0
10  4      0 11787212 108920 3008320    0    0     0     0 25160 121492 52 44  2  1  0  0
13  4      0 11802016 108920 3009396    0    0     0     0 22277 108801 51 45  1  3  0  0
17  4      0 11801008 108920 3010548    0    0     0     0 23974 123162 51 46  2  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  4      0 11802472 108920 3011536    0    0     0     0 23937 114842 54 43  2  1  0  0
 8  4      0 11804292 108920 3012628    0    0     0     0 26105 127147 50 47  3  0  0  0
13  4      0 11790088 108920 3013568    0    0     0     0 23774 115987 52 47  2  0  0  0
15  4      0 11790900 108920 3014540    0    0     0     0 24306 115857 51 46  3  0  0  0
 5  4      0 11798848 108924 3015588    0    0     0   160 24609 125639 50 49  1  0  0  0
17  4      0 11793912 108924 3016540    0    0     0     0 23660 113607 54 44  2  0  0  0
15  4      0 11797224 108924 3017684    0    0     0     0 25292 122517 52 45  3  1  0  0
16  4      0 11775764 108928 3018704    0    0     0  1740 22725 112828 53 44  1  2  0  0
13  4      0 11787780 108928 3019828    0    0     0     0 24759 136278 51 48  1  1  0  0
23  4      0 11806300 108952 3020928    0    0     0   884 22143 125770 53 46  1  1  0  0
 7  4      0 11805064 108952 3021964    0    0     0     4 25508 121095 49 46  2  3  0  0
15  4      0 11803860 108952 3023220    0    0     0     0 24330 126191 51 47  1  2  0  0
 8  4      0 11801560 108952 3024212    0    0     0     0 23844 116787 52 45  1  2  0  0
11  4      0 11800832 108952 3025272    0    0     0  2868 25349 134521 52 47  1  1  0  0
18  4      0 11780724 108952 3026272    0    0     0     0 24824 116893 53 45  1  2  0  0
 8  4      0 11783696 108952 3027412    0    0     0    20 26721 131990 50 46  0  3  0  0
22  4      0 11797104 108952 2999404    0    0     0     0 23778 115278 55 43  1  1  0  0
18  4      0 11797008 108952 3000324    0    0     0  1744 22513 107285 52 46  1  1  0  0
13  4      0 11799900 108952 3001436    0    0     0     0 23331 123942 52 46  1  1  0  0
18  4      0 11802480 108952 3002372    0    0     0     0 22742 111691 53 45  2  0  0  0
11  4      0 11804384 108952 3003500    0    0     0 31504 25455 131086 52 47  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  4      0 11782840 108952 3004572    0    0     0     0 23487 120368 54 45  2  0  0  0
 8  4      0 11789084 108952 3005656    0    0     0     0 22190 110742 51 46  3  1  0  0
13  4      0 11786892 108952 3006884    0    0     0  1108 23347 123203 52 46  2  1  0  0
12  4      0 11787476 108952 3007872    0    0     0     0 22997 110590 53 45  1  1  0  0
13  4      0 11788368 108952 3008964    0    0     0     0 25013 126913 51 48  1  1  0  0
15  4      0 11772052 108952 3009888    0    0     0     0 23184 113934 52 45  1  2  0  0
16  4      0 11771800 108952 3011000    0    0     0     0 24045 127244 51 48  0  0  0  0
14  4      0 11759080 108952 3011976    0    0     0     0 24126 124784 50 49  0  0  0  0
12  4      0 11772492 108952 3012884    0    0     0     0 22966 114814 52 46  1  1  0  0
19  4      0 11771988 108952 3014084    0    0     0  2620 23254 118157 52 45  2  1  0  0
21  4      0 11759972 108952 3015144    0    0     0     0 21880 106904 54 43  2  1  0  0
