procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  4      0 11903628 108672 2990808    0    0    49   834 9673   80 12 12 65 12  0  0
13  4      0 11885876 108672 2991488    0    0     0     4 22273 104365 55 43  1  1  0  0
 7  4      0 11884148 108696 2992228    0    0     0  1388 24474 115000 52 47  1  1  0  0
12  4      0 11882264 108696 2993100    0    0     0     0 25847 135316 50 49  0  1  0  0
11  4      0 11868040 108696 2994012    0    0     0    16 23584 116122 53 45  1  1  0  0
15  4      0 11846296 108696 2995356    0    0     0    64 23985 114076 51 47  1  1  0  0
16  4      0 11854188 108696 2996220    0    0     0     4 24283 116536 52 45  1  2  0  0
15  4      0 11841120 108696 2997052    0    0     0    12 24321 112307 53 43  0  3  0  0
18  4      0 11856244 108696 2997848    0    0     0     0 24789 122234 51 48  1  0  0  0
11  4      0 11836584 108696 2998960    0    0     0    80 21169 103528 53 44  0  2  0  0
13  4      0 11844364 108696 2999756    0    0     0     0 25042 121126 50 46  1  2  0  0
15  4      0 11850504 108696 3000840    0    0     0     4 25301 131451 51 47  1  1  0  0
10  4      0 11850048 108696 3001768    0    0     0    76 23578 109730 52 43  4  2  0  0
13  4      0 11850348 108696 3002824    0    0     0     0 25558 124790 51 46  2  2  0  0
13  4      0 11842548 108696 3003876    0    0     0    16 21673 114176 55 44  2  0  0  0
14  4      0 11834408 108696 3004960    0    0     0    64 25073 129432 50 48  1  1  0  0
11  4      0 11831668 108696 3005932    0    0     0     4 21928 107078 50 46  2  2  0  0
14  4      0 11828388 108696 3006764    0    0     0    12 24579 117671 51 46  2  2  0  0
16  4      0 11828784 108696 3007892    0    0     0    36 25038 120290 51 46  3  0  0  0
15  4      0 11825512 108696 3008520    0    0     0  5220 20950 125395 53 46  1  0  0  0
13  4      0 11826112 108696 3009720    0    0     0  1436 24194 117730 50 47  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  4      0 11838276 108696 3010476    0    0     0    16 23247 119120 52 47  1  1  0  0
 8  4      0 11826264 108696 3011556    0    0     0    64 23334 114323 50 46  2  2  0  0
14  4      0 11826992 108696 3012444    0    0     0     0 24540 127877 52 47  1  0  0  0
15  4      0 11820292 108696 3013624    0    0     0    48 22668 106141 53 43  1  3  0  0
16  4      0 11795396 108696 3014772    0    0     0  2932 24270 121651 51 46  1  2  0  0
21  4      0 11814460 108696 3015444    0    0     0    16 23073 109300 52 45  1  2  0  0
13  4      0 11833700 108696 2992948    0    0     0     0 23281 111839 55 43  2  1  0  0
18  4      0 11835364 108696 2993868    0    0     0  2316 23671 121328 52 46  1  1  0  0
17  4      0 11830912 108696 2994540    0    0     0 26912 22205 114469 53 45  2  0  0  0
16  4      0 11831684 108696 2995624    0    0     0     4 26959 133443 50 47  2  2  0  0
15  4      0 11821036 108696 2996956    0    0     0    16 23006 115786 52 44  3  1  0  0
19  4      0 11858280 108708 2997996    0    0     0   252 23997 117522 48 48  2  2  0  0
18  4      0 11855888 108708 2999144    0    0     0     0 23663 121494 52 45  2  1  0  0
15  4      0 11847320 108708 3000044    0    0     0    60 22601 109852 52 44  4  1  0  0
 7  4      0 11847012 108708 3001164    0    0     0    72 22928 121413 52 45  2  1  0  0
17  4      0 11831884 108708 3002100    0    0     0    16 21821 103065 52 44  2  2  0  0
12  4      0 11829616 108708 3003104    0    0     0     0 24814 123029 51 45  2  2  1  0
11  4      0 11827552 108708 3004156    0    0     0    36 25587 122082 49 47  2  1  0  0
10  4      0 11818412 108708 3004840    0    0     0    44 21454 100437 52 43  3  1  2  0
19  4      0 11816728 108708 3006116    0    0     0     0 24626 129725 51 46  2  0  0  0
10  4      0 11794752 108708 3007424    0    0     0    16 22094 110882 53 44  3  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  4      0 11805332 108708 3008144    0    0     0    64 25339 117728 49 47  5  0  0  0
11  4      0 11805188 108708 3009064    0    0     0     0 23899 126621 52 45  2  1  0  0
 5  4      0 11806280 108708 3010408    0    0     0    16 23503 114290 53 44  3  1  0  0
11  4      0 11811348 108708 3011496    0    0     0    64 24505 129348 51 46  2  1  0  0
14  4      0 11846784 108708 3012248    0    0     0    16 21509 108373 55 43  2  1  0  0
11  4      0 11845792 108708 3013548    0    0     0     0 26201 133573 50 48  1  1  0  0
15  4      0 11841620 108724 3014624    0    0     0  3344 24370 131950 51 48  1  1  0  0
 8  4      0 11806552 108724 3015564    0    0     0   280 23087 110566 52 44  2  1  0  0
11  4      0 11806552 108724 3016600    0    0     0     0 25277 123756 49 46  4  1  0  0
23  4      0 11779360 108724 3017500    0    0     0    16 21598 103652 53 42  3  1  1  0
23  4      0 11785356 108724 3018484    0    0     0    64 24410 123455 50 47  2  1  1  0
 7  4      0 11786872 108724 3019536    0    0     0     4 24043 123322 50 47  3  0  0  0
13  4      0 11777948 108724 3020472    0    0     0    36 22071 116305 53 45  2  1  0  0
11  4      0 11748188 108724 3021948    0    0     0    64 24478 127788 50 48  1  1  0  0
14  4      0 11778140 108724 3022644    0    0     0  1060 23157 107373 53 45  1  1  0  0
12  4      0 11778084 108724 3009388    0    0     0     0 20665 94986 53 44  2  1  0  0
12  4      0 11788596 108724 2997252    0    0     0  1852 24109 115437 53 46  1  0  0  0
18  5      0 11790396 108724 2998176    0    0     0 26716 23123 116479 53 46  0  1  0  0
 5  4      0 11785944 108724 2999280    0    0     0  3900 26456 124804 49 46  0  5  0  0
14  4      0 11790592 108724 3000308    0    0     0    16 23722 117497 53 45  0  2  0  0
10  4      0 11809064 108724 3001092    0    0     0    64 22748 121060 51 47  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  4      0 11786704 108724 3002340    0    0     0     4 24763 122326 52 46  2  1  0  0
12  4      0 11787536 108724 3003036    0    0     0    12 23402 114641 51 46  2  1  0  0
17  4      0 11778824 108724 3004260    0    0     0   120 22238 118988 52 46  0  1  0  0
13  4      0 11770488 108724 3005232    0    0     0    24 23373 112845 51 45  2  3  0  0
10  4      0 11780772 108724 3006372    0    0     0     0 26003 134158 50 49  1  0  0  0
16  4      0 11773128 108724 3007048    0    0     0    52 24860 118220 53 43  2  1  0  0
 7  4      0 11814508 108724 3007864    0    0     0    28 24265 117245 49 47  2  1  1  0
11  4      0 11809856 108724 3008984    0    0     0     0 25612 128355 51 46  2  1  0  0
12  4      0 11782128 108724 3010236    0    0     0    20 23335 110148 53 44  2  2  0  0
15  4      0 11756484 108724 3011056    0    0     0    64 22297 121729 54 45  1  1  0  0
11  4      0 11759812 108724 3012052    0    0     0    16 23142 116688 53 45  1  1  0  0
 7  4      0 11759776 108724 3013144    0    0     0     0 24664 125591 53 46  1  1  0  0
15  4      0 11741928 108724 3014172    0    0     0    68 24282 118316 51 46  1  1  0  0
14  4      0 11744028 108724 3015328    0    0     0    12 21890 111547 53 45  1  2  0  0
 9  4      0 11745400 108724 3016244    0    0     0     0 25811 128708 51 46  3  0  0  0
 8  4      0 11732612 108732 3017248    0    0     0   244 22919 117219 53 45  2  1  0  0
19  4      0 11774144 108732 3018400    0    0     0    28 23927 122668 47 49  2  1  0  0
 9  4      0 11761560 108732 3019400    0    0     0  1872 24769 124756 51 46  2  1  0  0
10  4      0 11757780 108732 3020252    0    0     0    12 23804 114820 52 47  1  1  0  0
18  4      0 11740088 108732 3021460    0    0     0    64 22911 106975 50 47  1  2  0  0
10  4      0 11732488 108732 3022240    0    0     0    16 23462 110677 53 45  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11748760 108732 3023248    0    0     0     0 25958 124447 50 47  2  1  0  0
12  4      0 11752120 108732 3024564    0    0     0    84 23795 117983 55 43  1  0  0  0
15  4      0 11748116 108732 3025224    0    0     0     0 25030 120499 50 45  3  1  0  0
10  4      0 11772960 108732 3011092    0    0     0  3816 21839 111488 60 38  1  0  0  0
11  4      0 11780752 108732 2997084    0    0     0    52 24683 114422 53 44  2  1  0  0
 9  4      0 11782832 108732 2997636    0    0     0  2220 26013 128116 50 48  1  1  0  0
10  4      0 11769592 108732 2998864    0    0     0 29540 22968 114826 53 45  1  1  0  0
10  4      0 11771916 108732 2999704    0    0     0     0 23879 123218 51 48  1  1  0  0
13  4      0 11764300 108732 3000732    0    0     0    68 23750 114029 48 48  2  2  0  0
 9  4      0 11784720 108732 3001764    0    0     0    12 22200 106504 54 44  1  1  0  0
12  4      0 11787228 108732 3002808    0    0     0     0 23549 124469 50 49  1  0  0  0
18  4      0 11773040 108732 3003576    0    0     0    88 22658 112905 52 47  0  0  0  0
13  4      0 11748176 108732 3004612    0    0     0     0 23338 114761 51 48  1  1  0  0
19  4      0 11750196 108732 3005364    0    0     0     4 25430 122645 50 47  1  3  0  0
13  4      0 11769176 108732 3006552    0    0     0    48 23719 112584 53 44  1  2  0  0
11  4      0 11779052 108732 3007180    0    0     0    28 25171 127624 51 48  1  0  0  0
 3  4      0 11728876 108732 3008480    0    0     0    64 23493 117057 53 44  2  2  0  0
